round,fraction,dice_score,method
1,0.12,0.6629602015018463,bald
2,0.13,0.7065989971160889,bald
3,0.14,0.7445553690195084,bald
4,0.15,0.7176619470119476,bald
5,0.16,0.7639874219894409,bald
6,0.17,0.7735943496227264,bald
7,0.18,0.7965009808540344,bald
8,0.19,0.7785886079072952,bald
9,0.2,0.8009287267923355,bald
10,0.21,0.7866293787956238,bald
11,0.22,0.807446226477623,bald
12,0.23,0.8097959905862808,bald
13,0.24,0.8307788223028183,bald
14,0.25,0.852210059762001,bald
15,0.26,0.8671179115772247,bald
16,0.27,0.8429934680461884,bald
17,0.28,0.8442356288433075,bald
18,0.29,0.8697730451822281,bald
19,0.3,0.8792891949415207,bald
20,0.31,0.8897675424814224,bald
21,0.32,0.8907076716423035,bald
22,0.33,0.8644276857376099,bald
23,0.34,0.8851952999830246,bald
24,0.35,0.8896597921848297,bald
25,0.36,0.890438437461853,bald
26,0.37,0.8917702436447144,bald
27,0.38,0.8750451952219009,bald
28,0.39,0.8759736120700836,bald
29,0.4,0.8923801779747009,bald
30,0.41,0.8975763916969299,bald
31,0.42,0.8932362347841263,bald
32,0.43,0.8927200585603714,bald
33,0.44,0.905219316482544,bald
34,0.45,0.8946983218193054,bald
35,0.46,0.8915350586175919,bald
36,0.47,0.8940510451793671,bald
37,0.48,0.9076216518878937,bald
38,0.49,0.9010572731494904,bald
39,0.5,0.9029433727264404,bald
40,0.51,0.9069406390190125,bald
41,0.52,0.9094200730323792,bald
42,0.53,0.9155783355236053,bald
43,0.54,0.8981707543134689,bald
44,0.55,0.9080613404512405,bald
45,0.56,0.9056455940008163,bald
46,0.57,0.9083403199911118,bald
47,0.58,0.9083172231912613,bald
48,0.59,0.91026571393013,bald
49,0.6,0.9113296866416931,bald
50,0.61,0.9179551601409912,bald
51,0.62,0.908931240439415,bald
52,0.63,0.909726083278656,bald
53,0.64,0.9143438935279846,bald
54,0.65,0.9157331883907318,bald
55,0.66,0.9140923619270325,bald
56,0.67,0.9127319008111954,bald
57,0.68,0.9119086414575577,bald
58,0.69,0.9150714129209518,bald
59,0.7,0.9132441878318787,bald
60,0.71,0.9128971844911575,bald
61,0.72,0.91734179854393,bald
62,0.73,0.913783460855484,bald
63,0.74,0.9122634381055832,bald
64,0.75,0.9116027653217316,bald
65,0.76,0.9113941788673401,bald
66,0.77,0.9143958985805511,bald
67,0.78,0.9171281158924103,bald
68,0.79,0.9167829602956772,bald
69,0.8,0.9137652367353439,bald
70,0.81,0.9220015853643417,bald
71,0.82,0.9153928160667419,bald
72,0.83,0.9170780926942825,bald
73,0.84,0.9157057553529739,bald
74,0.85,0.9186431020498276,bald
75,0.86,0.9169404953718185,bald
76,0.87,0.9177754670381546,bald
77,0.88,0.9186978936195374,bald
78,0.89,0.9153635650873184,bald
79,0.9,0.9213888347148895,bald
80,0.91,0.9234180152416229,bald
81,0.92,0.9195882081985474,bald
82,0.93,0.9203986078500748,bald
83,0.94,0.9199443459510803,bald
84,0.95,0.9216929525136948,bald
85,0.96,0.9215235859155655,bald
86,0.97,0.9198231548070908,bald
87,0.98,0.9201095551252365,bald
88,0.99,0.9193122982978821,bald
89,1.0,0.9198724180459976,bald
